Item,SKU,UPC,Unit Cost,Case Size
Soft Soap/Liquid Hand Soap/Christmas Sweet Pine WPump/6/7.5/oz,27854-02138,827854021384,0.89,6
Safeguard/Soap/Fresh Clean Scent with Aloe 12pk/4/4/oz,37000-82823,037000828235,6.2475,4
Dove/Soap/White/48/5/oz,67238-89119,0067238891190,0.9,48
Soft Soap/Liquid Hand Soap/Festive Peppermint WPump/6/11.25/oz,27854-02058,827854020585,0.85,6
Dove/Soap/Pink 4pk/12/3.2/oz,10908-56526,850050048213,3.3667,12
Soft Soap/Liquid Hand Soap/Hawaiian Orchid wPump/6/11.25/oz,27854-02057,827854020578,1.3683,6
Soft Soap/Liquid Hand Soap/Eucalyptus & Sea Salt wPump/6/11.25/oz,27854-00475,827854004752,1.3683,6
Dove/Soap/Cool Cucumber 4pk/12/3.2/oz,850068-951731,850050951734,3.3667,12
Irish Spring/Soap/Aloe 4pk/8/3.7/oz,35000-99663,035000996633,2.0825,8
Old Spice/Soap/Seas the Day Eucalyptus + Coconut Cream/12/5/oz,12044-05801,012044057964,1.5675,12
Dove/Soap/White Original 4pk/12/3.2/oz,501056-37094,850050048169,3.3667,12
Soft Soap/Liquid Hand Soap Pump/Golden Apple/6/7.5/oz,27854-02960,827854029601,0.89,6
Soft Soap/Liquid Soap Refill/Sensitive Skin 2pk/4/80/oz,27854-01802,827854018025,4.7125,4
Ivory/Soap/Aloe 3pk/24/3.1/oz,37000-12365,037000000532,1.8,24
Soft Soap/Liquid Hand Soap Pump/Mango/6/7.5/oz,27854-02807,827854028079,0.89,6
Soft Soap/Liquid Hand Soap/Frosty Mint Peppermint wPump/6/11.25/oz,27854-00363,827854003632,0.85,6
Soft Soap/Liquid Hand Soap Pump/Foaming Velvet Silk Coconut & Vanilla/6/9/oz,27854-02546,827854025467,1.6833,6
Dove/Soap USA/Original White  14pk/6/3.75/oz,11111-03666,011111036666,11.49,6
Soft Soap/Liquid Hand Soap Pump/Foaming Velvet Silk Berry & Shea Butter/6/9/oz,27854-02553,827854025535,1.6833,6
Soft Soap/Liquid Hand Soap Pump/Kiwi/6/7.5/oz,27854-02802,827854028024,0.89,6
Dove/Soap USA/Sensitive 14pk/6/3.75/oz,11111-03662,011111036628,11.49,6
Ivory/Soap/Aloe 12pk/4/3.17/oz,30772-12669,030772126691,4.9675,4
Soft Soap/Liquid Hand Soap Pump/Meyer Lemon/6/7.5/oz,27854-02719,827854027195,0.89,6
Soft Soap/Liquid Hand Soap Pump/Foaming Pacific Sunset/6/9/oz,27854-02580,827854025801,1.6833,6
Soft Soap/Liquid Hand Soap/Papaya Sunsets wPump/6/7.5/oz,27854-02122,827854021223,0.89,6
Soft Soap/Liquid Hand Soap Refill/Aloe/6/50/oz,74182-45992,074182459925,3.6,6
Ivory/Soap/Original 12pk/4/3.17/oz,30772-01851,030772018514,4.9675,4
Oral B/Floss/Charcoal Mint/48/50/m,00410-10854,300410108540,1.5675,48
