Item,SKU,UPC,Unit Cost,Case Size
"Finish Dishwasher Detergent, Max In 1 Powerball 50 Tablets, Powerful Clean Every time 50/pt 10/cs",93267-10R,051700932672,1.0,10
"Finish Dishwasher Detergent, Powerball Quantum, 45 Tabs 40/pt 12/cs",FIN94085R,051700940851,0.6667,12
"Finish Dishwasher Detergent, Powerball Quantum, Lemon Sparkle 45 Tabs 40/pt 12/cs",FIN93263R,051700932634,0.6667,12
Finish Max in 1 Powerball Automatic Dishwasher Detergent Lemon 46ct 4/cs,FIN20604,051700206049,2.1875,4
"Finish Pacs Dishwasher Detergents, Fresh Scent, 10.5 Ounce, 24 Count Display 21/pt 24/cs",99664,051700206421,0.3229,24
Finish Powerball Automatic Dishwasher Detergent Lemon Sparkle 27ct 10.9oz 85/pt 6/cs,FIN99675,051700996759,1.0833,6
"Finish Powerball Automatic Dishwasher Detergent Quantum Pods 21Ct, 78/pt 8/cs",98913,051700998913,0.5,8
"Finish Powerball Automatic Dishwasher Detergent Quantum Pods 25 Count, 78/pt 8/cs",99892,051700998920,0.5312,8
"Finish Powerball Automatic Dishwasher Detergent Ultimate Pods 17 Count, 120/pt 4/cs",99826,051700998265,0.9375,4
Finish Powerball Automatic Dishwasher Detergent Ultimate Pods 28 Count 80/pt 6/cs,99827,051700998272,1.2917,6
"Gain + Aroma Boost Laundry Detergent Liquid Soap, Original, 32 Loads 46 FL OZ 72/pt 6/cs",55861,037000558613,1.0833,6
Gain + Odor Defense Super Fresh Blast Laundry Detergent 10oz 100/pt 12/cs,02193,030772002193,0.125,12
"Gain Aroma Boost Liquid Laundry Detergent, Original Scent, 17 Loads, 25oz 75/pt 6/cs",12783,037000127833,0.825,6
"Gain Aroma Boost Liquid Laundry Detergent, Original Scent, 6 Loads, 10 OZ 12/cs",04707,037000004707,0.125,12
Gain Dryer Sheets Moonlight Breeze 34 Count 125/pt 12/cs,42585,030772142585,0.1875,12
"Gain Dryer Sheets, Original Fresh Scent, 15 count 144/pt 15/cs",95861,037000958611,0.1,15
Gain EZ-Squeeze Dishwashing Liquid +Aroma Boost Original Scent 14.7 oz 8/cs,08416,030772084168,0.3125,8
Gain EZ-Squeeze Dishwashing Liquid +Bleach Alternative Honey berry Hula Scent 14.7 oz 8/cs,08415,030772084151,0.3125,8
"Gain Fabric Softener Dryer Sheets, Moonlight Breeze, 105 Sheets 6/cs",98359,037000983590,0.625,6
Gain Fireworks In Wash Scent Booster Beads- Happy Hibiscus Hula 26.4oz 80/pt 4/cs,14091,030772140918,3.725,4
Gain Fireworks In-Wash Scent Booster Beads Original 5.0 oz 72/pt 12/cs,08872R,030772088722,0.375,12
"Gain Fireworks In-Wash Scent Booster Beads, Blissful Breeze, 12.2 oz1 20/pt 4/cs",09564,030772095645,2.1875,4
Gain Flings Laundry Detergent Pacs Island Fresh Scent with Oxi Boost and Febreze 112 Count 40/pt 4/cs,02482,030772024829,5.6875,4
Gain Flings Laundry Detergent Pods Original 31 Count 8/cs,09480R,030772094808,1.1562,8
"Gain Flings Original Scent Laundry Detergent Pacs, 42 Count 4/cs",00994-4R,037000009948,3.125,4
Gain Laundry Detergent Super Sized Flings Zen 18 Count 8/cs,13236R,030772132364,1.0938,8
"Gain Liquid Laundry Detergent 184oz Display, 12/Moonlight breeze, 12/Original, 2/pt 24/cs",23543,030772228524,0.7438,24
Gain Odor Defense Dryer Sheets Super Fresh Blast 15 sheets 144/pt 15/cs,12962,030772129623,0.1,15
"Gain Odor Defense Fabric Softener - Super Fresh Blast 12 Loads, 10 OZ 12/cs",04896,030772048962,0.125,12
"Gain Original Fabric Softener, 10 Fluid Ounce 12/cs",80926,037000980926,0.125,12
Gain Original Ultra Dishwashing Liquid 21.6oz 68/pt 10/cs,97618,037000976189,0.275,10
Gain Ultra Bleach Honey Berry Hula Dishwashing Liquid 21.6oz 68/pt 10/cs,97622,037000976226,0.275,10
Gain Ultra Bleach Honey Berry Hula Dishwashing Liquid 56 oz 80/pt 4/cs,08269,030772082690,1.5875,4
Gain Ultra Bleach Honey Berry Hula Dishwashing Liquid 90 oz 40/pt 6/cs,72082,030772082713,1.375,6
Gain Ultra Clean +Aroma Boost Original Scent Liquid Dish Soap 56 fl oz 80/pt 4/cs,08268,030772082683,1.5875,4
Gain Ultra Clean +Bleach alternative Original Scent Liquid Dish Soap 90 fl oz 6/cs,20827,030772082706,1.375,6
Gain Ultra Clean Honey Berry Hula Scent Dishwashing Liquid 8oz 150/pt 12/cs,08844,030772088449,0.125,12
Gain Ultra Fabric Softener 60 Loads Blissful Breeze Scent 51 oz 40/pt 8/cs,86324,037000863243,0.7812,8
Gain Ultra Original Scent Dishwashing Liquid 8oz 12/cs,97614,037000976141,0.125,12
"Gillette Antiperspirant and Deodorant for Men, Clear Gel, Cool Wave, 2.85 oz 12/cs",09758,047400097582,0.2917,12
Gillette Blue II Disposable Razor 5Pk 120/cs,20175,3014260201753,0.0208,120
Gillette Blue II Plus Slalom Disposable Razors 4pk 120/cs,94714,7702018094714,0.0221,120
Gillette Clear Shield Cool Wave Deodorant 108g 12/cs,66827R,047400668270,0.3125,12
Gillette Clinical Protection Power Rush Exp 12/cs,69623,047400696235,0.2458,12
Gillette Fusion ProShield Razor Blade Refills 2 count 48/cs,65612,047400656123,0.1458,48
"Glad ForceFlex Multipurpose Large Drawstring Trash Bags (30 Gallon), Pine-Sol Original Scent 34 Count 48/pt",22496,012587224960,1.4917,6
"Glad Kitchen Compostable Bags - 2.6 gallon, Febreze Lemon, 44 bags 36/pt 12/cs",92650,012587792650,0.2917,12
Glade 3-Wick Candle Jar Limited Edition Cool Coconut 6.8oz 3/cs,05325,046500053252,1.1667,3
Glade 3-Wick Candle Jar Limited Edition Mighty Mango 6.8oz 3/cs,48913,046500048913,1.1667,3
Glade 3-Wick Candle Jar Limited Edition Radiant Bloom 6.8oz 3/cs,05328,046500053283,1.1667,3
Glade Air Freshener Spray Chilled Mint & Basil Empower Mint 8.3 oz2 90/pt 6/cs,04911,046500049118,0.325,6
"Glade Automatic Spray Refill, Lush Gardenia & Pink Peony , Super Bloom 6.2 oz 6/cs",04917,046500049170,0.5417,6
"Glade Candle Jar Infused with Essential Oils Indulging 2 In 1, SheerV anilla Embrace Apple Cinnamon 3.4 Oz",76948,046500769481,0.375,6
Glade Candle Jar Infused with Essential Oils Rose & Bloom 6.8 oz 3/cs,03706,046500037061,1.25,3
"Glade Candle Jar Infused with Essential Oils Sheer Vanilla Embrace, 3.4 Oz 286/pt 6/cs",76959,046500769597,0.375,6
Glade Candle Jar Limited Edition Autumn Spiced Apple 3.4 Oz 286/pt 6/cs,04611,046500046117,0.375,6
Glade Candle Jar Limited Edition Fall Night Long 3.4 Oz 286/pt 6/cs,02458,046500024580,0.375,6
Glade Candle Jar Limited Edition Merry Berry & Cranberry Celebration 3.4 Oz 286/pt 6/cs,51432,046500051432,0.375,6
Glade Candle Jar Limited Edition Mighty Mango 4.08oz 6/cs,55652,046500055652,0.4167,6
"Glade Candle Jar Limited Edition Mighty Mango, 2pk 4.08 oz Each 3/cs",55638,046500055638,1.5833,3
Glade Candle Jar Limited Edition Radiant Bloom 4.08oz 6/cs,05562,046500055621,0.4167,6
"Glade Candle Jar Limited Edition Radiant Bloom, 2pk 4.08 oz Each 312/pt 3/cs",05561,046500055614,1.5833,3
Glade Candle Jar Limited Edition Wonder Melon 2pk 4.08 oz Each 3/cs,55607,046500055607,1.5833,3
Glade Candle Marshmallow Irish Cream Limited Edition 6.8 oz 3/cs,39638,046500039638,1.25,3
"Glade Jan Candle Air Freshener Fresh Ferns, Eucalyptus & Sandalwood Fresh Confidence 6.8 Oz 3/cs",04894,046500048944,1.5,3
"Glade Jar Candle Air Freshener Mango & Tropical Coconut, Mighty Mango 2pk Total 6.8 oz 3/cs",04886,046500048869,1.5,3
"Glade Jar Candle Air Freshener Notes Of Juicy Watermelon & CucumberS eltzer, Wonder Melon 6.8 oz",04893,046500048937,1.1667,3
Glade Limited Edition Air Freshener Spray Golden Pumpkin & Spice 8.3 oz2 90/pt 6/cs,04629,046500046292,0.375,6
Glade Limited Edition Air Freshener Spray Mighty Mango & Tropical Coconut Scent 8.3 oz. 290/pt 6/cs,49071,046500049071,0.375,6
Glade Limited Edition FIRST FROST Frosted Woods & Eucalyptus CANDLE 6.8 oz 3/cs,51548,046500051548,1.5,3
Glade PlugIns Scented Oil Limited Edition FIRST FROST Frosted Woods & Eucalyptus 2 Refills Total 1.34,51487,046500051487,0.75,6
Glade PlugIns Scented Oil Refills Radiant Bloom 2 Count Total 1.34 Fl Oz 6/cs,05335,046500053351,0.5833,6
"Glade PlugIns Scented Oil Refills, Yuzu & White Peach, Fresh 2 Count Total 1.34 Fl Oz 6/cs",04931,046500049316,0.5833,6
"Glade PlugIns Scented Oil, Citrus & Shine 1 Warmer + 1 Refill 0.67 oz2 17/pt 5/cs",02870,046500028700,0.59,5
Glade Scented Oil Triple Refill Vanilla Passion Fruit 3x67oz. 5/cs,04484,046500744846,1.05,5
