UPC,Description,Unit Cost,Qty
6001087357067,VIC 400ML LTN COCOA GLOW,2.4,1
6001087008488,VIC 400ML LTN EVEN TONE SPF10 B3,2.4,1
8886467042560,VIC 6.8z BODY OIL GEL COCONUT RSTRE,5.75,1
607869310983,CONTIGO 14z KIDS TUMBLER JUNIPER,3.6,1
607869286363,CONTIGO 24z ASHLAND GRAY BOTTLE,5.5,1
607869286288,CONTIGO 24z ASHLAND PINK BOTTLE,5.5,1
607869312147,CONTIGO 24z JACKSON BLUE CHUG BTL,5.5,1
607869284666,CONTIGO 20z JACKSON METAL CHUG BTL,10.0,1
607869299998,CONTIGO 24z ASHLAND GREEN BOTTL,5.5,1
607869312154,CONTIGO 24z CORTLAND BLUE METAL BTL,11.0,1
607869313304,CONTIGO 32z ASHLAND BLUE BOTTLE,6.0,1
3574661440477,J&J 200CT BABY COTTON BUDS,1.65,1
041554082739,MAYBELLINE 2PK MASCARA BRWNISH BLCK,9.0,1
041554082708,MAYBELLINE 2PK MASCARA BLACK #120,9.0,1
